conversion_certificate,deed_from_previous_owner,electricity_connection,electricity_connection_detail,encumberence_certificate,is_the_plot_free_of_any_legal_issues,revenue_document,road_available,road_available_detail,sewage_connection,sewage_connection_detail,title_deed,title_deed_detail,water_connection,water_connection_detail,amenities,boundary,construction,dimensions,fig_count,floor,location,open_sides,price,price_available,price_per_sqft,transaction,type,garden_park,main_road,pool,width_road,area
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,47 X 33,0,,Sodepur,2.0,24.5,1,1701.0,Resale,Residential Land / Plot,0,0,0,3.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,0,,Rajarhat,2.0,19.6,1,1361.0,Resale,Residential Land / Plot,0,0,0,10.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,,Bishnupur,,,0,,Resale,Residential Land / Plot,0,0,0,,1440.0
Yes,Yes,Yes,Electricity Board,Yes,No,Yes,Yes,On Highway,Yes,Underground,Yes,Will Deed,Yes,Water Board,,No,No,,1,,Barrackpore Barasat Road,,,0,,Resale,Residential Land / Plot,0,1,0,,9.0
,,,,,,,,,,,,,,,,No,No,,0,3,Ramchandrapur Narendrapur,,,0,,Resale,Residential Land / Plot,0,0,0,,1450.0
,,,,,,,,,,,,,,,,Yes,No,24 X 30,8,3,Bhasa,4.0,1.0,1,139.0,New Property,Residential Land / Plot,0,0,0,8.0,720.0
No,Yes,Yes,Electricity Board,No,No,,No,,No,,Yes,Sale Deed,No,,,Yes,No,,0,4,Madhyamgram,4.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,1361.0
,,,,,,,,,,,,,,,,No,No,,0,Congo,New Town,3.0,,0,,Resale,Residential Land / Plot,0,0,0,20.0,4.0
,,,,,,,,,,,,,,,,Yes,Yes,36 X 40,1,3,New Town,2.0,26.1,1,1812.0,New Property,Residential Land / Plot,0,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,18 X 40,1,3,Action Area 3,1.0,12.5,1,1736.0,New Property,Residential Land / Plot,0,1,0,10.0,720.0
,,,,,,,,,,,,,,,,Yes,No,134 X 32.2,4,1,Baruipur,3.0,40.0,1,926.0,Resale,Residential Land / Plot,0,0,0,4.0,4320.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,20 X 108,3,2,Tollygunge Phari,1.0,60.0,1,2778.0,Resale,Residential Land / Plot,0,0,0,4.0,2160.0
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Mud Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,1,4,Joka,4.0,2.7,1,188.0,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,40 X 45,8,3,New Town,1.0,31.3,1,1736.0,New Property,Residential Land / Plot,1,1,0,13.0,1800.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,,"Silpara, Purba Barisha",,42.0,1,1458.0,Resale,Residential Land / Plot,0,0,0,,2880.0
,,,,,,,,,,,,,,,,Yes,No,134 X 91.2,7,5,Beleghata,3.0,,0,,Resale,Residential Land / Plot,0,1,0,10.0,12240.0
,,,,,,,,,,,,,,,,No,No,,0,3,Sonarpur,,,0,,Resale,Residential Land / Plot,0,0,0,,1800.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,"Club House, Swimming Pool, Gymnasium, Park, Reserved Parking, Security",No,No,,4,,New Town,4.0,12.0,1,1667.0,Resale,Residential Land / Plot,0,0,0,10.0,720.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Borewell,"Swimming Pool, Gymnasium, Park, Security, Vaastu Compliant, Waste Disposal",Yes,Yes,32 X 45,4,3,Action Area 2,3.0,14.8,1,1028.0,Resale,Residential Land / Plot,1,1,0,7.0,1440.0
,,,,,,,,,,,,,,,,No,No,26.8 X 53.7,0,Congo,Joka,3.0,11.0,1,764.0,New Property,Residential Land / Plot,1,1,0,20.0,1440.0
,,,,,,,,,,,,,,,,No,No,2683 X 0.54,6,Congo,Joka,3.0,8.0,1,554.0,New Property,Residential Land / Plot,1,1,0,20.0,1440.0
,,,,,,,,,,,,,,,,No,No,2683 X 0.81,7,Congo,Joka,3.0,13.5,1,625.0,New Property,Residential Land / Plot,1,0,0,20.0,2160.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,No,,1,,Konnagar,3.0,45.0,1,2432.0,Resale,Residential Land / Plot,0,0,0,5.0,1850.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,36 X 20,10,4,Joka,2.0,1.4,1,194.0,Resale,Residential Land / Plot,1,1,0,25.0,720.0
,,,,,,,,,,,,,,,,Yes,No,,2,1,Barasat,,,0,,Resale,Residential Land / Plot,0,0,0,,38110.0
,,,,,,,,,,,,,,,,Yes,No,,0,6,Chakdaha,,225.0,1,2083.0,Resale,Residential Land / Plot,0,0,0,,10800.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Harinavi,,40.0,1,1852.0,Resale,Residential Land / Plot,0,0,0,,2160.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Water Board,,Yes,Yes,94.99 X 27.52,0,5,Shobhabazar,1.0,,0,,Resale,Residential Land / Plot,1,0,0,10.0,2614.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,60 X 60,9,4,Action Area 3,1.0,61.0,1,1694.0,New Property,Residential Land / Plot,1,1,0,10.0,3600.0
,,,,,,,,,,,,,,,,No,No,,1,20,Eastern Metropolitan Bypass,,,0,,Resale,Residential Land / Plot,0,0,0,,304900.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,,Yes,Borewell,,Yes,Yes,144 X 135,1,3,Joka,2.0,,0,,Resale,Residential Land / Plot,0,0,0,25.0,6480.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Gift Deed,Yes,Water Board,,Yes,No,,3,5,Raja Rammohan Roy Road,1.0,,0,,New Property,Residential Land / Plot,1,1,0,22.0,8640.0
,,,,,,,,,,,,,,,,Yes,No,,0,1,Rajpur,,,0,,Resale,Residential Land / Plot,0,0,0,,96490.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,"Amtala, Diamond Harbour Road",2.0,,0,,New Property,Residential Land / Plot,0,0,0,7.0,6480.0
,,,,,,,,,,,,,,,,No,No,,3,,New Town,3.0,12.0,1,833.0,Resale,Residential Land / Plot,0,0,0,10.0,1440.0
No,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Open,Yes,Will Deed,Yes,Water Board,,No,No,,2,,Panchanan Tola Thakurpukur,2.0,,0,,Resale,Residential Land / Plot,0,1,0,5.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,,"Garia Place, Garia",,,0,,Resale,Residential Land / Plot,0,0,0,,1060.0
,,,,,,,,,,,,,,,,Yes,No,8050 X 1.07,5,1,Ballygunge,2.0,,0,,Resale,Residential Land / Plot,0,1,0,10.0,8641.0
,,,,,,,,,,,,,,,,No,No,,0,4,Action Area 1,,,0,,Resale,Residential Land / Plot,0,0,0,,6451.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Parnasree Palli,,38.5,1,1528.0,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,,Yes,No,789 X 4.56,6,4,Salt Lake City,2.0,,0,,Resale,Residential Land / Plot,1,1,0,10.0,3600.0
,,,,,,,,,,,,,,,,Yes,Yes,1032 X 3.49,7,4,Kankurgachi,2.0,,0,,Resale,Residential Land / Plot,0,1,0,10.0,3600.0
,,,,,,,,,,,,,,,,No,No,24 X 30,5,,"Diamond Park, Joka",1.0,2.7,1,374.0,New Property,Residential Land / Plot,1,1,0,25.0,720.0
,,,,,,,,,,,,,,,,No,No,49.2 X 32.8,7,5,Action Area 2B,2.0,,0,,Resale,Residential Land / Plot,0,1,0,13.0,1615.0
,,,,,,,,,,,,,,,,No,No,23 X 28.26,13,,"Diamond Park, Joka",1.0,1.6,1,238.0,New Property,Residential Land / Plot,1,1,0,10.0,650.0
,,,,,,,,,,,,,,,,Yes,Yes,45 X 40,0,4,Joka,2.0,10.0,1,556.0,New Property,Residential Land / Plot,1,1,0,7.0,1800.0
,,,,,,,,,,,,,,,,No,No,,0,,Howrah,,,0,,Resale,Residential Land / Plot,0,0,0,,5040.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,Bramhapur,,35.0,1,2430.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,Bramhapur,,35.0,1,2430.0,Resale,Residential Land / Plot,0,0,0,,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Gariahat,,,0,,Resale,Residential Land / Plot,0,0,0,,2160.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,90 X 40,24,1,New Town,2.0,47.7,1,1325.0,New Property,Residential Land / Plot,0,1,0,10.0,3600.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,"Power Back Up, Rain Water Harvesting, Security, Maintenance Staff, CCTV Camera, Kids play area",No,No,,0,3,"Amtala, Diamond Harbour Road",4.0,13.0,1,903.0,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,80 X 36,24,5,New Town,2.0,38.2,1,1325.0,New Property,Residential Land / Plot,0,1,0,10.0,2880.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,Yes,24 X 30,6,,Joka,1.0,2.5,1,346.0,New Property,Residential Land / Plot,1,1,0,10.0,720.0
,,,,,,,,,,,,,,,,No,No,,0,2,Madhyamgram,,160.0,1,941.0,Resale,Residential Land / Plot,0,0,0,,17000.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 48,3,3,Action Area 3,1.0,36.6,1,1694.0,New Property,Residential Land / Plot,1,1,0,10.0,2160.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,3,Congo,Tribeni,3.0,30.0,1,2000.0,Resale,Residential Land / Plot,0,1,0,19.0,1500.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,Barrackpore,,45.0,1,2500.0,Resale,Residential Land / Plot,0,0,0,,1800.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,48 X 60,6,4,Action Area 3,1.0,48.8,1,1694.0,New Property,Residential Land / Plot,1,1,0,10.0,2880.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,New Town,4.0,26.0,1,1806.0,Resale,Residential Land / Plot,0,1,0,8.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,6,Sonagachi,,,0,,Resale,Residential Land / Plot,0,0,0,,17693.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,,Joka,2.0,1.6,1,111.0,Resale,Residential Land / Plot,0,0,0,8.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Borewell,,Yes,Yes,,2,3,Joka,2.0,1.6,1,111.0,Resale,Residential Land / Plot,0,0,0,8.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Thakurpukur,,,0,,Resale,Residential Land / Plot,0,0,0,,14400.0
No,No,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,No,Yes,1920 X 18,0,5,Belur Math,1.0,,0,,Resale,Residential Land / Plot,1,1,0,600.0,34560.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Mud Road,Yes,,Yes,Conveyance Deed,Yes,,,Yes,No,,4,3,Sarsuna,2.0,10.0,1,493.0,Resale,Residential Land / Plot,0,0,0,1.0,2027.0
,,,,,,,,,,,,,,,,No,No,,2,4,Action Area 3,,56.0,1,1111.0,Resale,Residential Land / Plot,0,0,0,,5040.0
Yes,Yes,Yes,Electricity Board,Yes,No,,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,Yes,Water Board,,Yes,Yes,,0,5,Nazirabad,4.0,,0,,Resale,Residential Land / Plot,0,0,0,20.0,9900.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,4,New Town,4.0,28.0,1,1944.0,Resale,Residential Land / Plot,0,1,0,9.0,1440.0
,,,,,,,,,,,,,,,,No,No,22 X 32.73,3,,Joka,1.0,2.9,1,396.0,New Property,Residential Land / Plot,1,1,0,10.0,720.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,Serampore,3.0,280.0,1,3889.0,Resale,Residential Land / Plot,0,0,0,4.0,7200.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,32 X 45,6,3,Action Area 3,1.0,24.4,1,1694.0,New Property,Residential Land / Plot,1,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Thakurnagar,,22.7,1,874.0,Resale,Residential Land / Plot,0,0,0,,2592.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Notun Pally,2.0,9.5,1,660.0,Resale,Residential Land / Plot,0,0,0,3.0,1440.0
,,,,,,,,,,,,,,,,No,No,,5,,Baduria,,275.0,1,255.0,New Property,Residential Land / Plot,1,0,0,,57600.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,40 X 45,3,3,Action Area 3,2.0,30.5,1,1694.0,New Property,Residential Land / Plot,1,1,0,10.0,1800.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,5,Rabindra Sarobar,,,0,,Resale,Residential Land / Plot,0,0,0,,2440.0
,,,,,,,,,,,,,,,,No,No,,1,,Dum Dum Cantonment,,,0,,New Property,Residential Land / Plot,0,0,0,,87120.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,,2,,Joka,3.0,2.8,1,191.0,Resale,Residential Land / Plot,0,0,0,10.0,1440.0
Yes,Yes,Yes,,Yes,Yes,,Yes,Pucca Road,Yes,,Yes,Partition Deed,Yes,,,Yes,Yes,,0,4,Barasat,3.0,42.5,1,1967.0,Resale,Residential Land / Plot,0,0,0,10.0,2160.0
Yes,Yes,Yes,Electricity Board,No,No,,Yes,On Highway,Yes,Underground,Yes,Gift Deed,Yes,Water Board,,Yes,No,,1,,"Halisahar, Kanchrapara",3.0,34.0,1,2361.0,Resale,Residential Land / Plot,0,0,0,3.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,"New Garia, Garia",,96.0,1,1111.0,Resale,Residential Land / Plot,0,0,0,,8641.0
,,,,,,,,,,,,,,,,Yes,No,,0,3,Birati,,130.0,1,4012.0,Resale,Residential Land / Plot,0,0,0,,3240.0
,,,,,,,,,,,,,,,,No,No,40 X 35,1,3,"International Airport, Dum Dum, Jessore Road",2.0,40.0,1,2857.0,Resale,Residential Land / Plot,0,1,0,2.0,1400.0
,,,,,,,,,,,,,,,,No,No,24 X 30,9,,"Diamond Park, Joka",2.0,4.0,1,554.0,New Property,Residential Land / Plot,1,1,0,25.0,720.0
,,,,,,,,,,,,,,,,No,No,,0,,Boral,,100.0,1,368.0,New Property,Residential Land / Plot,0,1,0,,27180.0
,,,,,,,,,,,,,,,,Yes,No,,0,5,Sonarpur,,100.0,1,1736.0,Resale,Residential Land / Plot,0,0,0,,5761.0
,,,,,,,,,,,,,,,,Yes,No,8050 X 0.54,7,1,Bhowanipore,2.0,,0,,Resale,Residential Land / Plot,0,1,0,10.0,4320.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,No,45 X 48,6,3,Action Area 3,1.0,37.5,1,1736.0,New Property,Residential Land / Plot,1,1,0,13.0,2160.0
,,,,,,,,,,,,,,,,No,No,,0,5,Kalagachhia,,14.0,1,737.0,Resale,Residential Land / Plot,0,0,0,,1900.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,No,,,No,No,,0,,Action Area 3,1.0,35.0,1,1944.0,Resale,Residential Land / Plot,0,0,0,15.0,1800.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,50 X 43.2,18,,Joka,2.0,6.0,1,277.0,New Property,Residential Land / Plot,1,1,0,30.0,2160.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Amherst Street,,1000.0,1,365.0,Resale,Residential Land / Plot,0,0,0,,273600.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,No,No,43.1 X 29,0,3,"Sewli Telinipara, Barrackpore",2.0,32.0,1,2560.0,Resale,Residential Land / Plot,0,1,0,10.0,1250.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,66 X 35,2,,New Alipore,1.0,,0,,Resale,Residential Land / Plot,0,0,0,6.0,2285.0
No,No,No,,No,No,No,No,,No,,No,,No,,,No,Yes,,0,3,Barrackpore,,,0,,Resale,Residential Land / Plot,0,0,0,,38880.0
Yes,Yes,Yes,Solar,Yes,Yes,,Yes,Mud Road,Yes,Open,Yes,Other,Yes,Borewell,,No,Yes,,1,Congo,Kalyanpur,2.0,,0,,Resale,Residential Land / Plot,0,0,0,16.0,1440.0
,,,,,,,,,,,,,,,,No,No,,3,,Jyangra,,80.0,1,3175.0,New Property,Residential Land / Plot,0,0,0,,2520.0
,,,,,,,,,,,,,,,"Power Back Up, Lift, Club House, Swimming Pool, Gymnasium, Reserved Parking",No,No,45 X 32,12,,Rajarhat,1.0,24.0,1,1667.0,Resale,Residential Land / Plot,0,1,0,12.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Borewell,,Yes,No,,0,3,Bishnupur,2.0,,0,,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
,,,,,,,,,,,,,,,"Power Back Up, Security, CCTV Camera",Yes,Yes,8944 X 0.81,6,1,Alipore,2.0,,0,,Resale,Residential Land / Plot,0,1,0,20.0,7200.0
,,,,,,,,,,,,,,,,Yes,No,40 X 36,0,4,Rajarhat,2.0,44.0,1,3056.0,New Property,Residential Land / Plot,1,1,0,30.0,1440.0
,,,,,,,,,,,,,,,"Power Back Up, Club House, Swimming Pool, Gymnasium, Security, Visitor Parking",No,No,,2,,Joka,2.0,8.0,1,556.0,Resale,Residential Land / Plot,0,0,0,20.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,1,,Rajarhat,2.0,30.0,1,1667.0,Resale,Residential Land / Plot,0,1,0,12.0,1800.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 32,5,4,Action Area 3,4.0,30.0,1,2083.0,New Property,Residential Land / Plot,1,1,0,9.0,1440.0
,,,,,,,,,,,,,,,,No,No,,0,,"Diamond Park, Joka",,55.0,1,2750.0,Resale,Residential Land / Plot,0,0,0,,2000.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,6,Kalyani,2.0,,0,,New Property,Residential Land / Plot,0,0,0,10.0,14000.0
Yes,Yes,No,,Yes,Yes,,Yes,Pucca Road,No,,Yes,,No,,,Yes,No,,0,,Shyamnagar,2.0,25.0,1,1736.0,Resale,Residential Land / Plot,0,0,0,12.0,1440.0
,,,,,,,,,,,,,,,,Yes,Yes,,0,,Baruipur,1.0,110.00000000000001,1,2546.0,Resale,Residential Land / Plot,0,0,0,10.0,4320.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 32,5,4,Action Area 3,4.0,29.0,1,2014.0,New Property,Residential Land / Plot,1,1,0,10.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,7,1,"Haridevpur, Paschim Putiary",2.0,22.0,1,3055.0,Resale,Residential Land / Plot,0,0,0,3.0,720.0
,,,,,,,,,,,,,,,,Yes,No,35 X 30.86,0,4,Rajarhat,2.0,32.0,1,2963.0,New Property,Residential Land / Plot,1,1,0,30.0,1080.0
Yes,Yes,Yes,Electricity Board,No,Yes,Yes,Yes,On Highway,Yes,Underground,Yes,Will Deed,Yes,Water Board,,Yes,Yes,,5,,Konnagar,,300.0,1,2976.0,Resale,Residential Land / Plot,1,1,0,,10080.0
,,,,,,,,,,,,,,,,No,Yes,,3,5,Budge Budge Trunk Road,,,0,,Resale,Residential Land / Plot,0,0,0,,2160.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Borewell,,Yes,Yes,,2,,Joka,2.0,2.5,1,347.0,Resale,Residential Land / Plot,0,0,0,8.0,720.0
,,,,,,,,,,,,,,,,No,Yes,20 X 36,10,,Joka,1.0,1.8,1,249.0,New Property,Residential Land / Plot,1,1,0,30.0,720.0
,,,,,,,,,,,,,,,,Yes,Yes,50 X 46.8,0,1,Salt Lake City,3.0,,0,,Resale,Residential Land / Plot,0,1,0,10.0,2340.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,32 X 45,6,3,Action Area 3,1.0,25.0,1,1736.0,New Property,Residential Land / Plot,1,1,0,13.0,1440.0
,,,,,,,,,,,,,,,"Rain Water Harvesting, Club House, Gymnasium, Park, Security, Water Storage",Yes,Yes,45 X 32,5,4,Action Area 3,4.0,28.4,1,1972.0,New Property,Residential Land / Plot,1,1,0,9.0,1440.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,Pucca Road,Yes,Underground,Yes,Will Deed,Yes,Water Board,,Yes,No,41.05 X 38.88,7,4,"New Garia, Garia",2.0,40.0,1,2778.0,Resale,Residential Land / Plot,0,1,0,6.0,1440.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Swimming Pool, Gymnasium, Park, Reserved Parking",No,No,,8,4,Joka,,18.0,1,417.0,Resale,Residential Land / Plot,0,0,0,,4320.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Conveyance Deed,Yes,Borewell,,Yes,Yes,,8,3,Bishnupur,2.0,,0,,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
Yes,Yes,No,,Yes,Yes,,Yes,On Highway,No,,Yes,Sale Deed,Yes,Water Board,,No,No,,0,,Thakurpukur,1.0,55.0,1,3667.0,Resale,Residential Land / Plot,0,0,0,10.0,1500.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,60 X 37,0,Congo,Chinsurah,2.0,55.0,1,2477.0,Resale,Residential Land / Plot,0,1,0,12.0,2220.0
,,,,,,,,,,,,,,,,No,No,,0,,Behala Chowrasta,,300.0,1,1667.0,Resale,Residential Land / Plot,0,0,0,,18000.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,Yes,Underground,Yes,Gift Deed,Yes,Water Board,,No,No,,3,Congo,Sodepur,4.0,85.0,1,1816.0,Resale,Residential Land / Plot,0,0,0,10.0,4680.0
Yes,No,No,,Yes,Yes,,Yes,Pucca Road,Yes,Open,Yes,Will Deed,No,,,No,No,,0,5,Chinsurah,1.0,75.0,1,4121.0,Resale,Residential Land / Plot,0,0,0,6.0,1820.0
Yes,Yes,Yes,Electricity Board,No,No,,Yes,On Highway,No,,Yes,Sale Deed,Yes,Borewell,,No,No,,0,Congo,Sonarpur,4.0,1.0,1,139.0,New Property,Residential Land / Plot,0,0,0,16.0,720.0
Yes,Yes,No,,Yes,Yes,Yes,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,Yes,Yes,50 X 22,4,3,Subhayan Park,1.0,12.0,1,1091.0,Resale,Residential Land / Plot,0,1,0,12.0,1100.0
,,,,,,,,,,,,,,,,No,Yes,150 X 75,0,,Andul,2.0,22.0,1,204.0,Resale,Residential Land / Plot,0,0,0,2.0,10800.0
,,,,,,,,,,,,,,,,No,No,,18,2,Joka,2.0,1.4,1,97.0,Resale,Residential Land / Plot,0,0,0,25.0,1440.0
,,,,,,,,,,,,,,,,Yes,No,,2,4,Joka,,,0,,Resale,Residential Land / Plot,0,0,0,,1037000.0
,,,,,,,,,,,,,,,,Yes,No,,0,1,Mukundapur,,50.0,1,2778.0,Resale,Residential Land / Plot,0,0,0,,1800.0
,,,,,,,,,,,,,,,,No,No,,3,Congo,Behala Chowrasta,1.0,100.0,1,1837.0,Resale,Residential Land / Plot,0,0,0,4.0,5444.0
Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Pucca Road,Yes,,Yes,Sale Deed,Yes,,,No,No,,4,Congo,Birati,1.0,76.0,1,3510.0,Resale,Residential Land / Plot,0,0,0,10.0,2165.0
Yes,Yes,No,,Yes,Yes,,Yes,On Highway,Yes,Underground,Yes,Other,Yes,Water Board,,No,No,,1,Congo,Diamond Harbour Road,1.0,,0,,Resale,Residential Land / Plot,0,0,0,10.0,44640.0
No,Yes,No,,Yes,Yes,Yes,Yes,Pucca Road,Yes,Open,Yes,Sale Deed,No,,,Yes,No,40 X 29.82,6,3,Howrah,2.0,42.0,1,3521.0,Resale,Residential Land / Plot,1,1,0,3.0,1193.0
No,Yes,Yes,Electricity Board,Yes,Yes,,Yes,Pucca Road,No,,Yes,Sale Deed,No,,,No,No,,0,,New Town,1.0,30.0,1,1389.0,Resale,Residential Land / Plot,0,0,0,10.0,2160.0
,,,,,,,,,,,,,,,,Yes,No,,0,4,Habra,,15.0,1,429.0,Resale,Residential Land / Plot,0,0,0,,3500.0
,,,,,,,,,,,,,,,"Power Back Up, Rain Water Harvesting, Club House, Gymnasium, Reserved Parking, Security",No,No,45 X 64,20,,Joka,2.0,12.0,1,417.0,New Property,Residential Land / Plot,1,1,0,25.0,2880.0
,,,,,,,,,,,,,,,"Power Back Up, Lift, Rain Water Harvesting, Club House, Gymnasium, Reserved Parking",No,No,24 X 30,12,,Joka,1.0,1.8,1,243.0,New Property,Residential Land / Plot,1,0,0,25.0,720.0
Yes,Yes,Yes,Electricity Board,Yes,Yes,Yes,Yes,On Highway,Yes,Underground,Yes,Sale Deed,Yes,Water Board,,No,No,57.4 X 188,1,1,Duttapukur,4.0,300.0,1,2778.0,Resale,Residential Land / Plot,0,0,0,149.0,10800.0
